n_id,n_x,n_y,is_left_boundary,is_right_boundary
0,0.0,0.0,True,False
1,5.0,0.0,False,False
2,10.0,0.0,False,False
3,15.0,0.0,False,False
4,20.0,0.0,False,False
5,25.0,0.0,False,False
6,30.0,0.0,False,False
7,35.0,0.0,False,True
8,2.5,4.330127018922193,True,False
9,7.5,4.330127018922193,False,False
10,12.5,4.330127018922193,False,False
11,17.5,4.330127018922193,False,False
12,22.5,4.330127018922193,False,False
13,27.5,4.330127018922193,False,False
14,32.5,4.330127018922193,False,False
15,37.5,4.330127018922193,False,True
16,0.0,8.660254037844386,True,False
17,5.0,8.660254037844386,False,False
18,10.0,8.660254037844386,False,False
19,15.0,8.660254037844386,False,False
20,20.0,8.660254037844386,False,False
21,25.0,8.660254037844386,False,False
22,30.0,8.660254037844386,False,False
23,35.0,8.660254037844386,False,True
24,2.5,12.990381056766578,True,False
25,7.5,12.990381056766578,False,False
26,12.5,12.990381056766578,False,False
27,17.5,12.990381056766578,False,False
28,22.5,12.990381056766578,False,False
29,27.5,12.990381056766578,False,False
30,32.5,12.990381056766578,False,False
31,37.5,12.990381056766578,False,True
32,0.0,17.32050807568877,True,False
33,5.0,17.32050807568877,False,False
34,10.0,17.32050807568877,False,False
35,15.0,17.32050807568877,False,False
36,20.0,17.32050807568877,False,False
37,25.0,17.32050807568877,False,False
38,30.0,17.32050807568877,False,False
39,35.0,17.32050807568877,False,True
40,2.5,21.650635094610962,True,False
41,7.5,21.650635094610962,False,False
42,12.5,21.650635094610962,False,False
43,17.5,21.650635094610962,False,False
44,22.5,21.650635094610962,False,False
45,27.5,21.650635094610962,False,False
46,32.5,21.650635094610962,False,False
47,37.5,21.650635094610962,False,True

e_id,n_from,n_to,thickness
0,0,1,1.0004921824250348
1,0,8,1.1269312324969785
2,1,2,0.8961431240104939
3,1,9,0.7003068131242158
4,1,8,0.8337111212127246
5,2,3,0.6725635848596168
6,2,10,1.024349155880535
7,2,9,1.7093037061796037
8,3,4,0.8212870406579803
9,3,11,0.7802117202380784
10,3,10,1.2164500476825126
11,4,5,1.1534469455635576
12,4,12,1.0430673002656903
13,4,11,0.6892251951624695
14,5,6,0.9883674583378428
15,5,13,1.3206463525594379
16,5,12,0.5840983989968512
17,6,7,0.8327295957866584
18,6,14,0.4674377491956314
19,6,13,0.597013772755166
20,7,15,0.4786938571058582
21,7,14,0.9102495808269875
22,8,9,0.6023126643067462
23,8,16,1.1146113103219855
24,8,17,1.0647078418757845
25,9,10,0.9279546853295942
26,9,17,0.36542146814007137
27,9,18,0.8061566840057837
28,10,11,0.9807865980870424
29,10,18,1.046366403440253
30,10,19,0.5422358057471137
31,11,12,0.8260488965565094
32,11,19,0.6761044985564182
33,11,20,0.7235867073663272
34,12,13,1.5286109532650147
35,12,20,0.7239638128240804
36,12,21,0.9870755652145391
37,13,14,1.424407513062887
38,13,21,0.791804965561854
39,13,22,0.9563027042222466
40,14,15,1.045176381501454
41,14,22,1.0258409443203167
42,14,23,0.6126127140423706
43,15,23,1.0309246233721105
44,16,17,1.7220739833432832
45,16,24,0.5385591903986033
46,17,18,1.4102303716716649
47,17,25,1.0488995954322273
48,17,24,0.7736867851496133
49,18,19,2.2259117757600944
50,18,26,1.356494617034839
51,18,25,0.6189594230669403
52,19,20,1.030255151542897
53,19,27,1.2594509014371988
54,19,26,0.9272678149359231
55,20,21,1.314115882585365
56,20,28,0.9737439177208015
57,20,27,1.3059085746844379
58,21,22,1.7778575871405315
59,21,29,0.7631773015833787
60,21,28,1.084647928156599
61,22,23,0.8308358550815692
62,22,30,1.0522254153306794
63,22,29,0.6219610485336833
64,23,31,0.7931676727897132
65,23,30,0.9245220394488539
66,24,25,1.432620878351593
67,24,32,1.581049398728298
68,24,33,0.588951691221614
69,25,26,0.7277068820619256
70,25,33,1.2953246633624507
71,25,34,0.4506934358798138
72,26,27,0.8308816226314416
73,26,34,0.9618326823947532
74,26,35,1.6533540643553604
75,27,28,1.317533674142643
76,27,35,0.8773183373047405
77,27,36,0.8629225321904647
78,28,29,0.9047666985196727
79,28,36,1.8393491021076385
80,28,37,0.8426446188803713
81,29,30,0.8856157126687427
82,29,37,1.1514656704225248
83,29,38,0.952840097436982
84,30,31,0.9241196806765706
85,30,38,0.6404226965618863
86,30,39,0.9954020160277312
87,31,39,0.837417532163543
88,32,33,1.5943260543350846
89,32,40,1.2985333056014248
90,33,34,0.990389038162757
91,33,41,1.306500788248802
92,33,40,0.8728881780074152
93,34,35,1.5232566005982342
94,34,42,0.9978425064734853
95,34,41,1.262827104992794
96,35,36,0.5966901583051151
97,35,43,1.1487472715653146
98,35,42,0.5090130384488561
99,36,37,0.44302389205999065
100,36,44,0.885333604218237
101,36,43,0.6976965289493956
102,37,38,1.0678220622582795
103,37,45,2.4544498699964823
104,37,44,0.7169929489259502
105,38,39,0.7791299468950252
106,38,46,1.0856312102407426
107,38,45,1.2179940893980163
108,39,47,0.9318695644829392
109,39,46,0.9209291876085208
110,40,41,1.324433978391022
111,41,42,1.2311676829890306
112,42,43,0.661351154506876
113,43,44,0.9688237933390266
114,44,45,1.0142148227283438
115,45,46,0.6558692336744136
116,46,47,1.109529043627644

meta_key,meta_value
coord_to_m,1e-06
thickness_to_m,1e-06
generator,tools/generate_network.py
format,stacked_v2
