n_id,n_x,n_y,is_left_boundary,is_right_boundary
0,0.0,0.0,True,False
1,10.0,0.0,False,False
2,20.0,0.0,False,False
3,30.0,0.0,False,False
4,40.0,0.0,False,False
5,50.0,0.0,False,True
6,0.0,10.0,True,False
7,10.0,10.0,False,False
8,20.0,10.0,False,False
9,30.0,10.0,False,False
10,40.0,10.0,False,False
11,50.0,10.0,False,True
12,0.0,20.0,True,False
13,10.0,20.0,False,False
14,20.0,20.0,False,False
15,30.0,20.0,False,False
16,40.0,20.0,False,False
17,50.0,20.0,False,True
18,0.0,30.0,True,False
19,10.0,30.0,False,False
20,20.0,30.0,False,False
21,30.0,30.0,False,False
22,40.0,30.0,False,False
23,50.0,30.0,False,True

e_id,n_from,n_to,thickness
0,0,1,1.1296262568912734
1,0,6,0.659684464417548
2,0,7,1.3501024498147283
3,1,2,1.4567761627590503
4,1,7,0.4582162359178992
5,1,8,0.5940024691886235
6,1,6,1.0524661886569746
7,2,3,0.8811767605215214
8,2,8,0.9933020688067796
9,2,9,0.7109042192162961
10,2,7,1.4215661550735232
11,3,4,1.3649486026224822
12,3,9,1.0267641745560927
13,3,10,1.569718780769461
14,3,8,1.2056317903679308
15,4,5,0.709129593855769
16,4,10,1.1589336483095303
17,4,11,0.6814359335023296
18,4,9,1.4210273849345627
19,5,11,0.9802277225183913
20,5,10,0.9287228228805411
21,6,7,0.7615710427998897
22,6,12,1.6307116839821107
23,6,13,0.9400597961389553
24,7,8,0.8425425371214387
25,7,13,0.8686166240218475
26,7,14,1.2372902105007695
27,7,12,1.1574017541429151
28,8,9,1.1795028600229882
29,8,14,1.1880679320942564
30,8,15,2.3552786433151587
31,8,13,0.8499599854442305
32,9,10,0.8147311547537593
33,9,15,0.722159614867182
34,9,16,1.279400704944858
35,9,14,1.5708060842961002
36,10,11,0.9554441356883321
37,10,16,0.714578378394654
38,10,17,0.7190729354529642
39,10,15,1.2972376448736287
40,11,17,1.3462213507490561
41,11,16,1.242669275234068
42,12,13,0.7662828795858495
43,12,18,1.0973130713481603
44,12,19,1.047780716114517
45,13,14,1.0914154575221076
46,13,19,1.4170418736357178
47,13,20,1.0935597705667337
48,13,18,1.312016708041787
49,14,15,1.027400296656169
50,14,20,1.122600377137569
51,14,21,1.2872591786289276
52,14,19,0.5582980452407832
53,15,16,0.8799690993134711
54,15,21,0.8284912017067927
55,15,22,0.7744895286974778
56,15,20,0.8957831633448461
57,16,17,1.8184355154036862
58,16,22,0.7072773163070161
59,16,23,1.473015031093225
60,16,21,0.5101002986161646
61,17,23,0.8746302861810494
62,17,22,1.0672670541360378
63,18,19,1.2642624801886064
64,19,20,1.3290848622645306
65,20,21,1.3734679532218972
66,21,22,0.8698016960413946
67,22,23,0.8311535556131491

meta_key,meta_value
coord_to_m,1e-06
thickness_to_m,1e-06
generator,tools/generate_network.py
format,stacked_v2
