n_id,n_x,n_y,is_left_boundary,is_right_boundary
0,0.3043956095066259,0.0,True,False
1,11.50955324434598,0.1973680290593639,False,False
2,21.77130816431961,0.4756223516367559,False,False
3,33.623488557767054,0.2860643052769538,False,False
4,44.03123736963949,0.0,False,False
5,55.41199780470287,0.4267649888486018,False,False
6,66.82651680008962,0.32276161327083,False,False
7,77.71490466536369,0.0,False,False
8,88.94953865223981,0.0,False,False
9,100.0,0.13166439912206485,False,True
10,5.84231971120597,9.854525968129868,True,False
11,17.18966447154989,10.393121121322197,False,False
12,28.087092774526404,9.694638707851968,False,False
13,38.85191222636337,9.543803765787228,False,False
14,49.61587721340839,10.183048953242455,False,False
15,61.3830690621198,10.46750973243421,False,False
16,72.02869484237571,9.870459706034868,False,False
17,83.29950645697312,9.689471359084285,False,False
18,94.03324611703941,9.975704926225934,False,False
19,100.0,10.16981399468251,False,True
20,0.0,20.332678196057838,True,False
21,11.33362789111361,19.81236664138204,False,False
22,22.591399779328,20.3047643574968,False,False
23,33.20830931003352,19.788328103930244,False,False
24,44.64721722663886,19.63975248360931,False,False
25,55.22212022497234,19.507362269751006,False,False
26,66.98547153055792,20.164850856592032,False,False
27,78.00573930958481,20.280729031021966,False,False
28,88.84323975059816,20.068741195952892,False,False
29,99.59977444236407,19.614530073535974,False,True
30,5.742669957544968,29.971096206143134,True,False
31,16.73915122942354,30.264998857416025,False,False
32,27.927464800000656,30.053579400657995,False,False
33,38.95467462305046,29.80395009806261,False,False
34,49.47868648285326,29.936717389232363,False,False
35,60.79398296979948,29.908528643724637,False,False
36,72.6148923036313,29.733939485865342,False,False
37,82.84255860187673,29.781383892021996,False,False
38,94.21510417529632,30.161916514726894,False,False
39,100.0,30.283898209106415,False,True
40,0.18257060036376394,39.90638686144007,True,False
41,11.460022649628927,39.66697291990771,False,False
42,21.691902303482067,39.59004786077564,False,False
43,33.580399278440495,39.96187723025139,False,False
44,44.06807975448178,40.0,False,False
45,55.1692356696813,40.0,False,False
46,66.60684030619336,39.88102122609648,False,False
47,77.55723565460875,40.0,False,False
48,88.73534734505932,39.5876499193161,False,False
49,99.57556211346724,40.0,False,True

e_id,n_from,n_to,thickness
0,0,1,1.1296262568912734
1,0,10,0.659684464417548
2,0,11,1.3501024498147283
3,1,2,1.4567761627590503
4,1,11,0.4582162359178992
5,1,12,0.5940024691886235
6,2,3,1.0524661886569746
7,2,12,0.8811767605215214
8,2,13,0.9933020688067796
9,3,4,0.7109042192162961
10,3,13,1.4215661550735232
11,3,14,1.3649486026224822
12,4,5,1.0267641745560927
13,4,14,1.569718780769461
14,4,15,1.2056317903679308
15,5,6,0.709129593855769
16,5,15,1.1589336483095303
17,5,16,0.6814359335023296
18,6,7,1.4210273849345627
19,6,16,0.9802277225183913
20,6,17,0.9287228228805411
21,7,8,0.7615710427998897
22,7,17,1.6307116839821107
23,7,18,0.9400597961389553
24,8,9,0.8425425371214387
25,8,18,0.8686166240218475
26,8,19,1.2372902105007695
27,9,19,1.1574017541429151
28,10,11,1.1795028600229882
29,10,20,1.1880679320942564
30,11,12,2.3552786433151587
31,11,21,0.8499599854442305
32,11,20,0.8147311547537593
33,12,13,0.722159614867182
34,12,22,1.279400704944858
35,12,21,1.5708060842961002
36,13,14,0.9554441356883321
37,13,23,0.714578378394654
38,13,22,0.7190729354529642
39,14,15,1.2972376448736287
40,14,24,1.3462213507490561
41,14,23,1.242669275234068
42,15,16,0.7662828795858495
43,15,25,1.0973130713481603
44,15,24,1.047780716114517
45,16,17,1.0914154575221076
46,16,26,1.4170418736357178
47,16,25,1.0935597705667337
48,17,18,1.312016708041787
49,17,27,1.027400296656169
50,17,26,1.122600377137569
51,18,19,1.2872591786289276
52,18,28,0.5582980452407832
53,18,27,0.8799690993134711
54,19,29,0.8284912017067927
55,19,28,0.7744895286974778
56,20,21,0.8957831633448461
57,20,30,1.8184355154036862
58,20,31,0.7072773163070161
59,21,22,1.473015031093225
60,21,31,0.5101002986161646
61,21,32,0.8746302861810494
62,22,23,1.0672670541360378
63,22,32,1.2642624801886064
64,22,33,1.3290848622645306
65,23,24,1.3734679532218972
66,23,33,0.8698016960413946
67,23,34,0.8311535556131491
68,24,25,1.4094370262588214
69,24,34,0.9263327849025673
70,24,35,0.600330747786754
71,25,26,0.6355179866529452
72,25,35,0.6922688312078112
73,25,36,1.220016395539304
