n_id,n_x,n_y,is_left_boundary,is_right_boundary
1,0,0,1,0
2,6.757974458,0,0,0
3,13.02731568,0,0,0
4,20.20884683,0.2063777886,0,0
5,26.73775718,0.1147482805,0,0
6,33.36241666,0.2175362119,0,0
7,40.21056904,0,0,0
8,46.90493618,0,0,0
9,53.48643696,0,0,0
10,60.24211928,0.02073061012,0,0
11,66.53314126,0,0,0
12,73.01887978,0,0,0
13,80.11374961,0.07359475579,0,0
14,86.74359007,0,0,0
15,93.66480662,0.2404176694,0,0
16,100,0,0,1
17,0,5,1,0
18,10.12369466,5.075229638,0,0
19,16.79229782,4.944460712,0,0
20,23.09006434,5.11074417,0,0
21,30.01690288,4.905120938,0,0
22,36.65722357,5.194743917,0,0
23,43.62269568,4.928897598,0,0
24,50.04768655,4.910934696,0,0
25,56.72953335,4.918955613,0,0
26,63.26107933,5.195137176,0,0
27,69.81810506,5.061593572,0,0
28,76.38934356,5.166322074,0,0
29,83.5247322,4.869684721,0,0
30,90.25098949,4.779284017,0,0
31,96.55741137,4.825139733,0,0
32,100,5,0,1
33,0,10,1,0
34,6.633559578,10.14816214,0,0
35,13.15376147,9.776010651,0,0
36,19.93636789,9.849256522,0,0
37,26.39383536,10.04016619,0,0
38,33.19913076,10.08599744,0,0
39,39.79967696,10.22105656,0,0
40,46.57674011,9.80274764,0,0
41,53.41940543,10.21357728,0,0
42,59.96025144,10.22729525,0,0
43,66.66659721,9.962614312,0,0
44,73.41347563,10.24754825,0,0
45,80.29929578,9.98002257,0,0
46,86.8384859,9.998711348,0,0
47,93.35287477,10.14289285,0,0
48,100,10,0,1
49,0,15,1,0
50,9.9431039,15.11724179,0,0
51,16.80742859,15.21602984,0,0
52,23.07662176,15.11450756,0,0
53,30.28494929,15.23396309,0,0
54,36.34313754,15.18182005,0,0
55,43.65413003,15.22860509,0,0
56,49.76584267,15.23631441,0,0
57,56.9266237,15.16118691,0,0
58,63.31999195,14.86618646,0,0
59,70.20125372,15.21176508,0,0
60,76.51075351,15.0194672,0,0
61,83.29516855,15.21550866,0,0
62,89.69367381,15.1160031,0,0
63,96.7429155,14.76418268,0,0
64,100,15,0,1
65,0,20,1,0
66,6.812813182,19.75799586,0,0
67,13.50530067,20.00637936,0,0
68,20.28606948,19.78304125,0,0
69,26.89421152,19.783345,0,0
70,33.22953999,19.96514937,0,0
71,40.31070805,20.03111592,0,0
72,46.50590973,19.87083786,0,0
73,53.59207888,19.86293471,0,0
74,59.74970314,19.89416538,0,0
75,66.72408204,20.02704525,0,0
76,73.53980718,20.03023798,0,0
77,79.85894748,19.95644817,0,0
78,86.87874731,20.06325323,0,0
79,93.6393851,19.93470221,0,0
80,100,20,0,1
81,0,25,1,0
82,10.03507434,25.0469621,0,0
83,16.89886081,24.82273677,0,0
84,23.27100689,25.20497948,0,0
85,29.69537793,25.16135314,0,0
86,36.61025602,25.16490199,0,0
87,43.00663637,24.93252308,0,0
88,49.71908669,25.07630729,0,0
89,56.5158994,25.10132604,0,0
90,63.62920095,24.81340855,0,0
91,70.24318553,24.77973208,0,0
92,76.58718034,24.96488703,0,0
93,83.3258997,25.23823116,0,0
94,90.18379413,24.90442868,0,0
95,96.51322452,25.1815601,0,0
96,100,25,0,1
97,0,30,1,0
98,6.920871448,30.00535325,0,0
99,13.22953049,30.24745867,0,0
100,19.8772957,29.84135619,0,0
101,26.92006541,30.1561677,0,0
102,33.4452596,30.22920682,0,0
103,40.28380972,30.12412425,0,0
104,46.90713427,29.87357337,0,0
105,53.09416437,30.08503092,0,0
106,60.14307902,29.83352646,0,0
107,66.59703818,30.20512788,0,0
108,73.37426718,30.03916796,0,0
109,79.79608652,30.01301112,0,0
110,86.68228982,29.79446782,0,0
111,93.65462846,30.0356978,0,0
112,100,30,0,1
113,0,35,1,0
114,9.670939255,35.1363246,0,0
115,16.98551048,35.04493501,0,0
116,23.21312109,34.84375386,0,0
117,30.11501776,34.8475537,0,0
118,36.7184586,35.05111959,0,0
119,43.6416154,34.78613263,0,0
120,49.99998188,35.12204874,0,0
121,56.45148449,34.94403337,0,0
122,63.04193033,35.11294043,0,0
123,69.72517859,34.94754585,0,0
124,76.91568175,34.98615017,0,0
125,83.60841462,35.13295856,0,0
126,90.27688264,34.8137015,0,0
127,96.38237527,34.78516313,0,0
128,100,35,0,1
129,0,40,1,0
130,6.91256953,40,0,0
131,13.3310478,39.83177171,0,0
132,20.11582229,39.90900869,0,0
133,26.80725324,39.98017766,0,0
134,33.33831324,40,0,0
135,39.72849698,40,0,0
136,46.4648233,40,0,0
137,53.32589736,40,0,0
138,59.78862888,40,0,0
139,66.86727802,39.99063025,0,0
140,73.54235604,40,0,0
141,80.10341404,40,0,0
142,86.37684694,40,0,0
143,93.25454319,39.91277281,0,0
144,100,40,0,1

e_id,n_from,n_to,thickness
1,1,2,1
2,1,18,1
3,2,3,1
4,2,19,1
5,3,4,1
6,3,20,1
7,4,5,1
8,4,21,1
9,5,6,1
10,5,22,1
11,6,7,1
12,6,23,1
13,7,8,1
14,7,24,1
15,8,9,1
16,8,25,1
17,9,10,1
18,9,26,1
19,10,11,1
20,10,27,1
21,11,12,1
22,11,28,1
23,12,13,1
24,12,29,1
25,13,14,1
26,13,30,1
27,14,15,1
28,14,31,1
29,15,16,1
30,15,32,1
31,17,18,1
32,18,19,1
33,18,33,1
34,19,20,1
35,19,34,1
36,20,21,1
37,20,35,1
38,21,22,1
39,21,36,1
