threshold,r2,rmse,within_2sig,trend_direction,trend_slope
0.3,-0.7415512558717223,0.17092765682739589,True,positive,0.24913188808222325
0.35,-1.2226924266583614,0.19310072022035724,True,positive,0.2699525659681163
0.4,-2.551618669143717,0.24409415149395736,True,positive,0.3020620970552616
0.45,-2.3057024604363523,0.2354919626574976,False,positive,0.2998456414913401
0.5,-1.6156839937175373,0.20947724143353955,True,positive,0.28908306274458534
0.55,-3.622264152626003,0.2784656234159862,False,positive,0.3215290639066105
0.6,-2.8985297639161365,0.2557376298464055,False,positive,0.30715768380189096
0.65,-2.163363142966309,0.2303661869424478,False,positive,0.2889578626938202
0.7,-2.8129477077735663,0.25291502672955074,False,positive,0.29487824405036034
0.75,-4.785460042731202,0.3115395282734739,False,positive,0.2959759164459362
0.8,-6.938072065284487,0.36492341246789384,False,positive,0.2910669138127144
0.85,-5.488595846346125,0.32992830117815386,False,positive,0.29021865423550947
0.9,-5.921080915023673,0.34074631829329743,False,positive,0.2811766073251238
