combo_key,coupling_mode,cleavage_form,strain_pct,seed,clearance_time,n_ruptured,n_total,lysis_fraction,cascade_count,reason,wall_s
inhibitory_x_exponential,inhibitory,exponential,0,2,32.16543565868449,245,500,0.49,0,network_cleared,14.061039447784424
inhibitory_x_exponential,inhibitory,exponential,0,1,23.908298843577978,194,500,0.388,2,network_cleared,27.057414293289185
inhibitory_x_exponential,inhibitory,exponential,0,7,40.954049616982175,285,500,0.57,0,network_cleared,38.59185433387756
inhibitory_x_exponential,inhibitory,exponential,5,1,30.73339390824796,241,500,0.482,0,network_cleared,13.812625408172607
inhibitory_x_exponential,inhibitory,exponential,5,0,37.152664951192044,248,500,0.496,0,network_cleared,49.33930420875549
inhibitory_x_exponential,inhibitory,exponential,0,4,37.978444287517355,270,500,0.54,0,network_cleared,103.21783900260925
inhibitory_x_exponential,inhibitory,exponential,0,3,31.513760109444668,257,500,0.514,0,network_cleared,109.37875652313232
inhibitory_x_exponential,inhibitory,exponential,5,4,14.505643610680867,126,500,0.252,1,network_cleared,18.850451707839966
inhibitory_x_exponential,inhibitory,exponential,5,5,38.44629861516766,262,500,0.524,0,network_cleared,28.600745916366577
inhibitory_x_exponential,inhibitory,exponential,5,2,53.616118088755066,318,500,0.636,0,network_cleared,87.45571494102478
inhibitory_x_exponential,inhibitory,exponential,5,6,23.291517514209836,189,500,0.378,0,network_cleared,31.467034101486206
inhibitory_x_exponential,inhibitory,exponential,5,8,29.23125125632666,217,500,0.434,0,network_cleared,22.46666717529297
inhibitory_x_exponential,inhibitory,exponential,5,7,35.260149955889965,255,500,0.51,0,network_cleared,27.77145218849182
inhibitory_x_exponential,inhibitory,exponential,0,5,21.838108421726776,207,500,0.414,1,network_cleared,166.48442435264587
inhibitory_x_exponential,inhibitory,exponential,0,6,39.52543591326163,291,500,0.582,0,network_cleared,189.80234956741333
inhibitory_x_exponential,inhibitory,exponential,0,8,33.44688934478898,256,500,0.512,0,network_cleared,199.74018025398254
inhibitory_x_exponential,inhibitory,exponential,0,0,23.46120440599991,216,500,0.432,0,network_cleared,209.99565505981445
inhibitory_x_exponential,inhibitory,exponential,0,9,34.42668338637563,256,500,0.512,1,network_cleared,197.84360122680664
inhibitory_x_exponential,inhibitory,exponential,10,5,15.672799722378265,119,500,0.238,0,network_cleared,5.9789512157440186
inhibitory_x_exponential,inhibitory,exponential,5,3,34.497661875619244,273,500,0.546,3,network_cleared,143.3701319694519
inhibitory_x_exponential,inhibitory,exponential,10,6,31.68036815330733,235,500,0.47,0,network_cleared,12.130688428878784
inhibitory_x_exponential,inhibitory,exponential,10,7,35.092025702958004,227,500,0.454,0,network_cleared,23.150565147399902
inhibitory_x_exponential,inhibitory,exponential,10,4,25.21082956153526,190,500,0.38,0,network_cleared,41.7713086605072
inhibitory_x_exponential,inhibitory,exponential,10,2,46.36747473145022,315,500,0.63,0,network_cleared,119.92395329475403
inhibitory_x_exponential,inhibitory,exponential,10,3,41.450831859592135,275,500,0.55,1,network_cleared,144.34496688842773
inhibitory_x_exponential,inhibitory,exponential,10,9,33.5975007752561,235,500,0.47,3,network_cleared,125.20767140388489
inhibitory_x_exponential,inhibitory,exponential,10,8,35.40516969749563,240,500,0.48,0,network_cleared,134.1003668308258
inhibitory_x_exponential,inhibitory,exponential,5,9,29.69460548202963,234,500,0.468,2,network_cleared,200.32979726791382
inhibitory_x_exponential,inhibitory,exponential,15,1,25.148073811296616,215,500,0.43,4,network_cleared,119.66849732398987
inhibitory_x_exponential,inhibitory,exponential,15,4,50.541424577420614,316,500,0.632,0,network_cleared,28.989137887954712
inhibitory_x_exponential,inhibitory,exponential,10,0,40.54128690243818,280,500,0.56,5,network_cleared,225.1815812587738
inhibitory_x_exponential,inhibitory,exponential,10,1,28.554602327899396,245,500,0.49,5,network_cleared,232.23266625404358
inhibitory_x_exponential,inhibitory,exponential,15,9,22.792600647525337,189,500,0.378,17,network_cleared,10.320308685302734
inhibitory_x_exponential,inhibitory,exponential,15,2,24.53774265296075,216,500,0.432,4,network_cleared,112.93784689903259
inhibitory_x_exponential,inhibitory,exponential,20,1,23.3944353722712,175,500,0.35,2,network_cleared,39.21511363983154
inhibitory_x_exponential,inhibitory,exponential,15,7,23.846249824305307,209,500,0.418,24,network_cleared,87.88344621658325
inhibitory_x_exponential,inhibitory,exponential,15,0,28.534632288908305,251,500,0.502,12,network_cleared,222.75938606262207
inhibitory_x_exponential,inhibitory,exponential,15,3,30.18384638890318,242,500,0.484,6,network_cleared,135.90696358680725
inhibitory_x_exponential,inhibitory,exponential,20,3,35.930501680007936,267,500,0.534,14,network_cleared,52.1118950843811
inhibitory_x_exponential,inhibitory,exponential,15,6,24.80327635865468,225,500,0.45,4,network_cleared,138.85431003570557
inhibitory_x_exponential,inhibitory,exponential,20,2,12.481159070131683,116,500,0.232,11,network_cleared,102.35338258743286
inhibitory_x_exponential,inhibitory,exponential,20,9,26.793977343335865,194,500,0.388,0,network_cleared,9.92254090309143
inhibitory_x_exponential,inhibitory,exponential,20,6,22.066399521949137,153,500,0.306,3,network_cleared,52.91825270652771
inhibitory_x_exponential,inhibitory,exponential,15,8,25.820106608608626,199,500,0.398,8,network_cleared,147.64463329315186
inhibitory_x_exponential,inhibitory,exponential,20,0,29.351444231062853,262,500,0.524,4,network_cleared,130.3014738559723
inhibitory_x_exponential,inhibitory,exponential,23,1,3.181122318934828,61,500,0.122,25,network_cleared,35.82272219657898
inhibitory_x_exponential,inhibitory,exponential,15,5,28.81802123488302,254,500,0.508,8,network_cleared,208.5627851486206
inhibitory_x_exponential,inhibitory,exponential,23,0,6.540588462993088,101,500,0.202,39,network_cleared,53.3680784702301
inhibitory_x_exponential,inhibitory,exponential,20,4,25.79868158079457,214,500,0.428,7,network_cleared,118.15589261054993
inhibitory_x_exponential,inhibitory,exponential,23,2,4.309488190144286,75,500,0.15,32,network_cleared,44.37466239929199
inhibitory_x_exponential,inhibitory,exponential,20,8,11.468172838212492,123,500,0.246,10,network_cleared,100.68469953536987
inhibitory_x_exponential,inhibitory,exponential,20,5,17.00021061422905,177,500,0.354,20,network_cleared,140.0398120880127
inhibitory_x_exponential,inhibitory,exponential,20,7,43.990104897872335,276,500,0.552,2,network_cleared,143.90024590492249
