strain_pct,seed,clearance_time,n_ruptured,lysis_fraction,mean_fiber_strain_initial,n_fragile_initial,n_total,reason,wall_s
0,0,18.760243422770014,158,0.314,0.07243359408419049,0,500,network_cleared,71.07636427879333
0,1,27.263561347420968,221,0.44,0.07243359408419049,0,500,network_cleared,116.8524706363678
0,2,35.2163611221409,255,0.508,0.07243359408419049,0,500,network_cleared,129.75235104560852
0,3,35.45645272197376,244,0.486,0.07243359408419049,0,500,network_cleared,110.85242772102356
0,4,32.695537035401294,248,0.494,0.07243359408419049,0,500,network_cleared,118.50526928901672
0,5,31.130511597544462,239,0.476,0.07243359408419049,0,500,network_cleared,94.97508645057678
0,6,42.67201535255813,264,0.526,0.07243359408419049,0,500,network_cleared,120.83025121688843
0,7,30.16246663812104,237,0.472,0.07243359408419049,0,500,network_cleared,115.03912591934204
0,8,34.285628473963335,246,0.49,0.07243359408419049,0,500,network_cleared,119.53827214241028
0,9,44.82682361719533,286,0.57,0.07243359408419049,0,500,network_cleared,124.83272409439087
0,10,30.16156286263292,221,0.44,0.07243359408419049,0,500,network_cleared,123.16620993614197
0,11,17.31200631430629,166,0.33,0.07243359408419049,0,500,network_cleared,83.08295392990112
0,12,40.26622412781762,283,0.564,0.07243359408419049,0,500,network_cleared,115.20542764663696
0,13,46.299072281965486,298,0.594,0.07243359408419049,0,500,network_cleared,114.94695854187012
0,14,36.37685611733875,247,0.492,0.07243359408419049,0,500,network_cleared,129.38220763206482
5,0,34.86059786425608,231,0.46,0.2559475844694954,23,500,network_cleared,5.0727293491363525
5,1,28.30527032785886,191,0.38,0.2559475844694954,23,500,network_cleared,4.210172891616821
5,2,47.7610206155962,269,0.536,0.2559475844694954,23,500,network_cleared,5.878134727478027
5,3,50.89606515659333,275,0.548,0.2559475844694954,23,500,network_cleared,6.002905368804932
5,4,42.2066070008269,244,0.486,0.2559475844694954,23,500,network_cleared,5.292689561843872
5,5,60.81848200749673,297,0.592,0.2559475844694954,23,500,network_cleared,6.354595899581909
5,6,29.65350919043249,224,0.446,0.2559475844694954,23,500,network_cleared,4.89378023147583
5,7,37.84629289173959,235,0.468,0.2559475844694954,23,500,network_cleared,5.10846734046936
5,8,44.562066204001226,259,0.516,0.2559475844694954,23,500,network_cleared,5.684915781021118
5,9,22.395273909026614,146,0.29,0.2559475844694954,23,500,network_cleared,3.2988994121551514
5,10,19.24786508894461,146,0.29,0.2559475844694954,23,500,network_cleared,3.2855653762817383
5,11,26.08327439181771,174,0.346,0.2559475844694954,23,500,network_cleared,3.8775527477264404
5,12,34.40975509675129,204,0.406,0.2559475844694954,23,500,network_cleared,4.522211313247681
5,13,44.92649467361746,268,0.534,0.2559475844694954,23,500,network_cleared,5.781773567199707
5,14,39.974280491474154,243,0.484,0.2559475844694954,23,500,network_cleared,5.313785076141357
10,0,45.61969731390315,256,0.51,0.27074929387738134,9,500,network_cleared,5.663561105728149
10,1,49.73038297291751,259,0.516,0.27074929387738134,9,500,network_cleared,5.6686224937438965
10,2,42.595814603640974,241,0.48,0.27074929387738134,9,500,network_cleared,5.212831735610962
10,3,39.56377610115834,257,0.512,0.27074929387738134,9,500,network_cleared,5.5833024978637695
10,4,33.06562788610362,221,0.44,0.27074929387738134,9,500,network_cleared,4.8464038372039795
10,5,49.127767661249,277,0.552,0.27074929387738134,9,500,network_cleared,6.023773908615112
10,6,39.52438446891266,253,0.504,0.27074929387738134,9,500,network_cleared,5.4933552742004395
10,7,36.82338188006142,225,0.448,0.27074929387738134,9,500,network_cleared,4.873310089111328
10,8,40.4158843127689,250,0.498,0.27074929387738134,9,500,network_cleared,5.4108803272247314
10,9,54.017456649702915,272,0.542,0.27074929387738134,9,500,network_cleared,5.856396436691284
10,10,24.978720381114936,179,0.356,0.27074929387738134,9,500,network_cleared,3.945209503173828
10,11,35.3386215548203,225,0.448,0.27074929387738134,9,500,network_cleared,4.951282024383545
10,12,43.59450569300782,250,0.498,0.27074929387738134,9,500,network_cleared,5.431638956069946
