seed,dynamic,final_time,lysis_fraction,cleared,n_splits,total_bindings,max_kcat_delta,total_kcat_updates,wall_s
0,True,200.00999999996307,0.0,False,6,10,0.0,44710,15.04473090171814
1,True,200.00999999996307,0.0,False,9,9,0.016486341843433342,70744,14.130878686904907
2,True,200.00999999996307,0.0,False,10,10,0.016476474028477277,59776,16.335495233535767
3,True,200.00999999996307,0.0,False,5,9,0.0038044972938273813,34600,15.270365476608276
4,True,200.00999999996307,0.0,False,9,12,0.01583378410556363,67795,14.093345642089844
5,True,200.00999999996307,0.0,False,9,8,0.01648634093204499,70254,14.254300355911255
6,True,200.00999999996307,0.0,False,6,5,0.0007128578652991283,51790,14.438223123550415
7,True,200.00999999996307,0.0,False,7,9,0.016465545353756675,38083,14.681251287460327
8,True,200.00999999996307,0.0,False,5,8,0.0,14770,23.872947454452515
9,True,200.00999999996307,0.0,False,9,9,0.01648634184343334,65710,17.21076464653015
10,True,200.00999999996307,0.0,False,8,9,0.016460949878491532,83382,14.135835409164429
11,True,200.00999999996307,0.0,False,13,12,0.016486341519536443,69583,14.78661584854126
12,True,200.00999999996307,0.0,False,12,15,0.01633084623164197,67328,13.996562719345093
13,True,200.00999999996307,0.0,False,7,7,0.01648634184343333,66201,13.403903007507324
14,True,200.00999999996307,0.0,False,12,8,3.469446951953614e-18,36458,14.868992567062378
15,True,200.00999999996307,0.0,False,12,12,0.01648634184343335,85207,12.76745319366455
16,True,200.00999999996307,0.0,False,6,7,0.016456786129894083,43693,14.504801034927368
17,True,200.00999999996307,0.0,False,7,7,0.016476656381488583,40377,14.360297203063965
18,True,200.00999999996307,0.0,False,4,6,0.01648634184343334,44493,14.1288743019104
19,True,200.00999999996307,0.0,False,1,5,0.0,24349,15.163622617721558
0,False,200.00999999996307,0.0,False,6,10,0.0,0,14.356870889663696
1,False,200.00999999996307,0.0,False,9,10,0.0,0,14.174258947372437
2,False,200.00999999996307,0.0,False,11,10,0.0,0,14.916504621505737
3,False,200.00999999996307,0.0,False,8,10,0.0,0,14.985584735870361
4,False,200.00999999996307,0.0,False,13,9,0.0,0,14.06825590133667
5,False,200.00999999996307,0.0,False,13,9,0.0,0,13.867951154708862
6,False,200.00999999996307,0.0,False,6,5,0.0,0,13.945860624313354
7,False,200.00999999996307,0.0,False,7,9,0.0,0,14.364404916763306
8,False,200.00999999996307,0.0,False,5,8,0.0,0,15.21424913406372
9,False,200.00999999996307,0.0,False,12,9,0.0,0,13.533743381500244
10,False,200.00999999996307,0.0,False,9,12,0.0,0,12.358424425125122
11,False,200.00999999996307,0.0,False,13,12,0.0,0,13.507606267929077
12,False,200.00999999996307,0.0,False,12,15,0.0,0,13.754208326339722
13,False,200.00999999996307,0.0,False,9,8,0.0,0,14.104254961013794
14,False,200.00999999996307,0.0,False,12,8,0.0,0,15.01865530014038
15,False,200.00999999996307,0.0,False,15,10,0.0,0,12.842279195785522
16,False,200.00999999996307,0.0,False,8,9,0.0,0,14.26416540145874
17,False,200.00999999996307,0.0,False,5,7,0.0,0,14.966929197311401
18,False,200.00999999996307,0.0,False,3,6,0.0,0,15.611592769622803
19,False,200.00999999996307,0.0,False,1,5,0.0,0,15.324401378631592
