mode,strain,seed,clearance_time,n_ruptured,n_total,lysis_fraction,reason
inhibitory,0.0,0,18.760243422770014,158,500,0.314,network_cleared
inhibitory,0.0,1,27.263561347420968,221,500,0.44,network_cleared
inhibitory,0.0,2,35.2163611221409,255,500,0.508,network_cleared
inhibitory,0.0,3,35.45645272197376,244,500,0.486,network_cleared
inhibitory,0.0,4,32.695537035401294,248,500,0.494,network_cleared
inhibitory,0.1,0,33.8984206304479,220,500,0.438,network_cleared
inhibitory,0.1,1,35.88068298808157,249,500,0.496,network_cleared
inhibitory,0.1,2,39.997613871997444,264,500,0.526,network_cleared
inhibitory,0.1,3,24.246657764875668,189,500,0.376,network_cleared
inhibitory,0.1,4,31.812168307833975,214,500,0.426,network_cleared
inhibitory,0.22,0,39.34471714271412,219,500,0.436,network_cleared
inhibitory,0.22,1,54.21747634474576,273,500,0.544,network_cleared
inhibitory,0.22,2,39.72592237866265,224,500,0.446,network_cleared
inhibitory,0.22,3,42.16723032413206,240,500,0.478,network_cleared
inhibitory,0.22,4,33.51055202700916,210,500,0.418,network_cleared
inhibitory,0.4,0,55.425707654325855,281,500,0.56,network_cleared
inhibitory,0.4,1,64.9287937713278,305,500,0.608,network_cleared
inhibitory,0.4,2,63.26486762600086,277,500,0.552,network_cleared
inhibitory,0.4,3,39.51839063542489,216,500,0.43,network_cleared
inhibitory,0.4,4,49.69579435054638,245,500,0.488,network_cleared
inhibitory,0.6,0,57.308939563765215,244,500,0.486,network_cleared
inhibitory,0.6,1,57.598512068973385,258,500,0.514,network_cleared
inhibitory,0.6,2,46.3824425334309,236,500,0.47,network_cleared
inhibitory,0.6,3,73.80131614496639,289,500,0.576,network_cleared
inhibitory,0.6,4,27.274196669974305,151,500,0.3,network_cleared
inhibitory,1.0,0,68.76886307534551,252,500,0.502,network_cleared
inhibitory,1.0,1,69.36987631249917,263,500,0.524,network_cleared
inhibitory,1.0,2,92.5140843779375,309,500,0.616,network_cleared
inhibitory,1.0,3,60.91860979595429,250,500,0.498,network_cleared
inhibitory,1.0,4,90.73210890509681,314,500,0.626,network_cleared
neutral,0.0,0,33.643704789055995,246,500,0.49,network_cleared
neutral,0.0,1,26.896460512887185,217,500,0.432,network_cleared
neutral,0.0,2,29.89608434140132,228,500,0.454,network_cleared
neutral,0.0,3,40.19849858727579,274,500,0.546,network_cleared
neutral,0.0,4,30.91709670637673,243,500,0.484,network_cleared
neutral,0.1,0,33.643704789055995,246,500,0.49,network_cleared
neutral,0.1,1,26.896460512887185,217,500,0.432,network_cleared
neutral,0.1,2,29.89608434140132,228,500,0.454,network_cleared
neutral,0.1,3,40.19849858727579,274,500,0.546,network_cleared
neutral,0.1,4,30.91709670637673,243,500,0.484,network_cleared
neutral,0.22,0,33.643704789055995,246,500,0.49,network_cleared
neutral,0.22,1,26.896460512887185,217,500,0.432,network_cleared
neutral,0.22,2,29.89608434140132,228,500,0.454,network_cleared
neutral,0.22,3,40.19849858727579,274,500,0.546,network_cleared
neutral,0.22,4,30.91709670637673,243,500,0.484,network_cleared
neutral,0.4,0,33.643704789055995,246,500,0.49,network_cleared
neutral,0.4,1,26.896460512887185,217,500,0.432,network_cleared
neutral,0.4,2,29.89608434140132,228,500,0.454,network_cleared
neutral,0.4,3,40.19849858727579,274,500,0.546,network_cleared
neutral,0.4,4,30.91709670637673,243,500,0.484,network_cleared
neutral,0.6,0,33.643704789055995,246,500,0.49,network_cleared
neutral,0.6,1,26.896460512887185,217,500,0.432,network_cleared
neutral,0.6,2,29.89608434140132,228,500,0.454,network_cleared
neutral,0.6,3,40.19849858727579,274,500,0.546,network_cleared
neutral,0.6,4,30.91709670637673,243,500,0.484,network_cleared
neutral,1.0,0,33.643704789055995,246,500,0.49,network_cleared
neutral,1.0,1,26.896460512887185,217,500,0.432,network_cleared
neutral,1.0,2,29.89608434140132,228,500,0.454,network_cleared
neutral,1.0,3,40.19849858727579,274,500,0.546,network_cleared
neutral,1.0,4,30.91709670637673,243,500,0.484,network_cleared
biphasic,0.0,0,26.128462924819672,204,500,0.406,network_cleared
biphasic,0.0,1,24.355814227458783,190,500,0.378,network_cleared
biphasic,0.0,2,32.109573095674314,248,500,0.494,network_cleared
biphasic,0.0,3,30.146386555179088,206,500,0.41,network_cleared
biphasic,0.0,4,36.54892525034066,263,500,0.524,network_cleared
biphasic,0.1,0,24.050880061690737,206,500,0.41,network_cleared
biphasic,0.1,1,51.14835965744968,305,500,0.608,network_cleared
biphasic,0.1,2,36.674691915041215,257,500,0.512,network_cleared
biphasic,0.1,3,44.97312764894056,278,500,0.554,network_cleared
biphasic,0.1,4,30.285199815016135,216,500,0.43,network_cleared
biphasic,0.22,0,32.55153539336142,211,500,0.42,network_cleared
biphasic,0.22,1,22.44589570367012,182,500,0.362,network_cleared
biphasic,0.22,2,40.86726937418569,264,500,0.526,network_cleared
biphasic,0.22,3,39.352871516101835,247,500,0.492,network_cleared
biphasic,0.22,4,36.736361202391834,262,500,0.522,network_cleared
biphasic,0.4,0,20.790964137520646,172,500,0.342,network_cleared
biphasic,0.4,1,14.873261480288953,142,500,0.282,network_cleared
biphasic,0.4,2,28.201374490051485,230,500,0.458,network_cleared
biphasic,0.4,3,21.73045915882537,187,500,0.372,network_cleared
biphasic,0.4,4,30.104248846283184,252,500,0.502,network_cleared
biphasic,0.6,0,25.125777358198636,229,500,0.456,network_cleared
biphasic,0.6,1,14.371034004573318,168,500,0.334,network_cleared
biphasic,0.6,2,15.821999858468452,180,500,0.358,network_cleared
biphasic,0.6,3,30.508269656175962,273,500,0.544,network_cleared
biphasic,0.6,4,18.45719654477322,203,500,0.404,network_cleared
biphasic,1.0,0,18.192051416541403,234,500,0.466,network_cleared
biphasic,1.0,1,13.861109633818058,201,500,0.4,network_cleared
biphasic,1.0,2,16.32035804485988,229,500,0.456,network_cleared
biphasic,1.0,3,10.609176586869088,164,500,0.326,network_cleared
biphasic,1.0,4,15.700655192615704,193,500,0.384,network_cleared
