beta,plasmin,seed,applied_strain,clearance_time,final_time,lysis_fraction,n_cleavages,n_ruptured,n_fibers,terminated,cleared
0.5,5.0,0,0.1,7.707024278344366,7.707024278344366,0.5471698113207547,159,30,53,network_cleared,True
0.5,5.0,1,0.1,9.704896312315578,9.704896312315578,0.6226415094339622,181,34,53,network_cleared,True
0.5,5.0,2,0.1,10.179346900569456,10.179346900569456,0.7169811320754716,186,39,53,network_cleared,True
0.84,5.0,0,0.1,9.347697527700536,9.347697527700536,0.5660377358490566,170,31,53,network_cleared,True
0.84,5.0,1,0.1,8.708794445282933,8.708794445282933,0.6037735849056604,176,33,53,network_cleared,True
0.84,5.0,2,0.1,9.741564383880734,9.741564383880734,0.7169811320754716,180,39,53,network_cleared,True
1.0,5.0,0,0.1,10.552197748879506,10.552197748879506,0.5660377358490566,177,31,53,network_cleared,True
1.0,5.0,1,0.1,12.824419345169675,12.824419345169675,0.7169811320754716,190,39,53,network_cleared,True
1.0,5.0,2,0.1,10.775047715161536,10.775047715161536,0.6981132075471698,189,38,53,network_cleared,True
1.84,5.0,0,0.1,13.675269824253535,13.675269824253535,0.7924528301886793,196,43,53,network_cleared,True
1.84,5.0,1,0.1,11.893731887784329,11.893731887784329,0.6981132075471698,184,38,53,network_cleared,True
1.84,5.0,2,0.1,15.551771822330918,15.551771822330918,0.7358490566037735,195,40,53,network_cleared,True
5.0,5.0,0,0.1,26.61784591514835,26.61784591514835,0.7358490566037735,192,40,53,network_cleared,True
5.0,5.0,1,0.1,38.67869827569033,38.67869827569033,0.8490566037735849,202,46,53,network_cleared,True
5.0,5.0,2,0.1,39.66873797404368,39.66873797404368,0.9056603773584906,207,49,53,network_cleared,True
10.0,5.0,0,0.1,nan,198.92284667690623,0.9056603773584906,204,48,53,max_steps,False
10.0,5.0,1,0.1,nan,198.9189260587727,0.8113207547169812,200,43,53,max_steps,False
10.0,5.0,2,0.1,nan,199.00361997601243,0.9056603773584906,202,48,53,max_steps,False
