beta,plasmin,seed,applied_strain,clearance_time,final_time,lysis_fraction,n_cleavages,n_ruptured,n_fibers,terminated,cleared
0.84,0.5,0,0.1,90.34360076445024,90.34360076445024,0.5849056603773585,179,32,53,network_cleared,True
0.84,0.5,1,0.1,108.12283366574707,108.12283366574707,0.7735849056603774,194,42,53,network_cleared,True
0.84,0.5,2,0.1,73.92914053590377,73.92914053590377,0.4528301886792453,156,25,53,network_cleared,True
0.84,1.0,0,0.1,45.90312895904889,45.90312895904889,0.5660377358490566,179,31,53,network_cleared,True
0.84,1.0,1,0.1,45.732640730609816,45.732640730609816,0.6981132075471698,184,38,53,network_cleared,True
0.84,1.0,2,0.1,47.13922071231611,47.13922071231611,0.5471698113207547,175,30,53,network_cleared,True
0.84,3.0,0,0.1,19.98904201846209,19.98904201846209,0.6792452830188679,189,37,53,network_cleared,True
0.84,3.0,1,0.1,15.844849231035179,15.844849231035179,0.5849056603773585,174,32,53,network_cleared,True
0.84,3.0,2,0.1,18.46404260695657,18.46404260695657,0.7735849056603774,196,42,53,network_cleared,True
0.84,5.0,0,0.1,9.347697527700536,9.347697527700536,0.5660377358490566,170,31,53,network_cleared,True
0.84,5.0,1,0.1,8.708794445282933,8.708794445282933,0.6037735849056604,176,33,53,network_cleared,True
0.84,5.0,2,0.1,9.741564383880734,9.741564383880734,0.7169811320754716,180,39,53,network_cleared,True
0.84,8.0,0,0.1,8.588507960654134,8.588507960654134,0.7358490566037735,192,40,53,network_cleared,True
0.84,8.0,1,0.1,6.241637250245113,6.241637250245113,0.6226415094339622,175,34,53,network_cleared,True
0.84,8.0,2,0.1,5.842791606789487,5.842791606789487,0.660377358490566,185,36,53,network_cleared,True
0.84,20.0,0,0.1,2.1209072003977223,2.1209072003977223,0.5283018867924528,169,29,53,network_cleared,True
0.84,20.0,1,0.1,2.5575846083032987,2.5575846083032987,0.6415094339622641,180,35,53,network_cleared,True
0.84,20.0,2,0.1,2.0598500863494187,2.0598500863494187,0.6226415094339622,173,34,53,network_cleared,True
