beta,plasmin,seed,applied_strain,clearance_time,final_time,lysis_fraction,n_cleavages,n_ruptured,n_fibers,terminated,cleared
0.84,5.0,0,0.0,9.763443995004003,9.763443995004003,0.6981132075471698,186,38,53,network_cleared,True
0.84,5.0,1,0.0,9.387035924523346,9.387035924523346,0.6226415094339622,183,34,53,network_cleared,True
0.84,5.0,2,0.0,8.244719278952308,8.244719278952308,0.5471698113207547,167,30,53,network_cleared,True
0.84,5.0,0,0.1,9.347697527700536,9.347697527700536,0.5660377358490566,170,31,53,network_cleared,True
0.84,5.0,1,0.1,8.708794445282933,8.708794445282933,0.6037735849056604,176,33,53,network_cleared,True
0.84,5.0,2,0.1,9.741564383880734,9.741564383880734,0.7169811320754716,180,39,53,network_cleared,True
0.84,5.0,0,0.23,11.289857911446747,11.289857911446747,0.660377358490566,181,36,53,network_cleared,True
0.84,5.0,1,0.23,12.140821117952584,12.140821117952584,0.6792452830188679,187,37,53,network_cleared,True
0.84,5.0,2,0.23,12.241495131106765,12.241495131106765,0.7735849056603774,193,42,53,network_cleared,True
0.84,5.0,0,0.4,11.927486193518005,11.927486193518005,0.6415094339622641,186,35,53,network_cleared,True
0.84,5.0,1,0.4,8.882049205725199,8.882049205725199,0.39622641509433965,143,22,53,network_cleared,True
0.84,5.0,2,0.4,15.840381103791378,15.840381103791378,0.7358490566037735,188,40,53,network_cleared,True
0.84,5.0,0,0.6,11.254911802394234,11.254911802394234,0.5660377358490566,173,31,53,network_cleared,True
0.84,5.0,1,0.6,10.76289798320371,10.76289798320371,0.4716981132075472,165,26,53,network_cleared,True
0.84,5.0,2,0.6,10.463771545962093,10.463771545962093,0.49056603773584906,165,27,53,network_cleared,True
