order,time_s,fiber_id,length_m,strain,tension_N,node_i,node_j
1,0.0,192,4.805304241009489e-06,0.22999999999999995,1.7199254168679993e-15,44,115
2,0.043095631368675294,427,8.386330681841893e-06,0.22999999999999995,1.7199254168679993e-15,136,168
3,0.05128814920867719,130,2.7082216044341274e-06,0.23000000000000004,1.7199254168679997e-15,29,187
4,0.05576756521202861,46,8.602116659861792e-06,0.23,1.7199254168679997e-15,10,198
5,0.08822715860383937,334,7.054359149065208e-06,0.22999999999999995,1.7199254168679993e-15,88,192
6,0.2665401968871446,339,5.684772812246936e-06,0.23,1.7199254168679997e-15,90,147
7,0.293163791151003,43,6.869686327665019e-06,0.23000000000000004,1.7199254168679997e-15,10,43
8,0.4329379258823116,266,3.367132868675281e-06,0.23000000000000004,1.7199254168679997e-15,66,82
9,0.4991885322870645,342,7.81581240103047e-06,0.23000000000000004,1.7199254168679997e-15,92,107
10,0.6505923192115498,206,1.46170738595912e-06,0.23,1.7199254168679997e-15,48,93
11,0.7157695016264696,41,3.7294023028544334e-06,0.23000000000000007,1.7199254168680001e-15,9,171
12,0.7373339788884036,263,3.6943133689649443e-06,0.23000000000000004,1.7199254168679997e-15,64,167
13,0.8731484145877798,446,8.511480427481032e-06,0.22999999999999993,1.7199254168679993e-15,151,155
14,0.9155584324167383,136,2.9132578737733696e-06,0.22999999999999993,1.7199254168679993e-15,30,182
15,1.008622604679415,408,7.176007922969971e-06,0.22999999999999995,1.7199254168679993e-15,123,164
16,1.0856616161175892,417,3.566202189235219e-06,0.23,1.7199254168679997e-15,130,194
17,1.3396214875988677,392,2.9831925234272195e-06,0.23000000000000007,1.7199254168680001e-15,113,205
18,1.350314920969579,312,6.010006231076082e-06,0.23,1.7199254168679997e-15,79,166
19,1.6804895625369134,488,5.555555555555563e-06,0.23,1.7199254168679997e-15,206,207
20,1.8674633642069094,428,7.435989168679694e-06,0.2299999999999999,1.7199254168679983e-15,136,206
21,2.221112405109764,431,4.567398044482322e-06,0.22999999999999998,1.7199254168679995e-15,139,147
22,2.2304684306200815,322,5.001564708119429e-06,0.2300000000000001,1.7199254168680005e-15,83,147
23,2.2726308835344,161,2.977233196153935e-06,0.22999999999999995,1.7199254168679993e-15,35,156
24,2.2878688954884216,72,6.617765307548183e-06,0.22999999999999995,1.7199254168679993e-15,16,110
25,2.445395931490296,0,4.6275603669173705e-06,0.22999999999999995,1.7199254168679993e-15,0,10
26,2.4699109393992513,319,3.000498381761707e-06,0.23000000000000007,1.7199254168680001e-15,82,142
27,2.593822444579553,158,5.371613207456942e-06,0.22999999999999995,1.7199254168679993e-15,35,99
28,2.7655387793139456,56,7.5625879365790754e-06,0.22999999999999993,1.7199254168679993e-15,12,198
29,2.8479880313363894,140,7.094772992958866e-06,0.23000000000000004,1.7199254168679997e-15,31,122
30,2.8887194209546925,391,5.264263770243141e-06,0.22999999999999993,1.7199254168679993e-15,113,197
31,3.2789294295356988,421,2.600236455370607e-06,0.23000000000000007,1.7199254168680001e-15,132,180
32,3.3054389576459138,210,7.298160404468469e-06,0.23,1.7199254168679997e-15,50,71
33,3.355188482592204,28,2.4369160653862145e-06,0.2299999999999999,1.7199254168679983e-15,6,125
34,3.826219191853222,61,7.4303336953902905e-06,0.22999999999999993,1.7199254168679993e-15,13,144
35,3.8503000685002062,175,6.810090275525426e-06,0.23,1.7199254168679997e-15,39,98
36,3.9462464829437573,91,8.261253715365692e-06,0.22999999999999993,1.7199254168679993e-15,20,189
37,3.9466584934477176,458,3.076912960665854e-06,0.23,1.7199254168679997e-15,163,171
38,3.990542903484419,351,7.749415876511258e-06,0.23,1.7199254168679997e-15,96,103
39,4.347551163772215,81,3.969655019075829e-06,0.23,1.7199254168679997e-15,18,44
40,4.4340182014446,64,6.667044074624673e-06,0.23,1.7199254168679997e-15,14,76
41,4.52512050488134,387,6.591243256964634e-06,0.23,1.7199254168679997e-15,111,193
42,4.5329339972689136,80,3.471026904763678e-06,0.22999999999999993,1.7199254168679993e-15,17,126
43,4.56629916989265,45,4.233281384840757e-06,0.23,1.7199254168679997e-15,10,185
44,4.590339786106836,490,5.555555555555556e-06,0.2299999999999999,1.7199254168679983e-15,208,209
45,5.037231069132263,395,3.906178128583974e-06,0.23000000000000007,1.7199254168680001e-15,114,175
46,5.0905101141909785,277,6.176112128704089e-06,0.2299999999999978,1.7199254168679798e-15,68,215
47,5.172445170654914,286,4.151307488725016e-06,0.23,1.7199254168679997e-15,70,199
48,5.332414048587891,178,7.010042517742146e-06,0.22999999999999998,1.7199254168679995e-15,40,164
49,5.597135160504283,370,1.7131618144194382e-06,0.2299999999999999,1.7199254168679983e-15,102,202
50,5.608267983662965,438,1.285221070495405e-06,0.23000000000000773,1.7199254168680687e-15,146,180
51,5.786477596267617,318,5.120247224438555e-06,0.23,1.7199254168679997e-15,82,91
52,5.888570461912972,497,5.555555555555563e-06,0.23,1.7199254168679997e-15,216,217
53,5.916343928120855,299,6.9805778674056864e-06,0.22999999999999995,1.7199254168679993e-15,75,100
54,5.9840925546604335,157,7.894725915721247e-06,0.23,1.7199254168679997e-15,35,44
55,6.114578577592134,117,3.93303036391557e-06,0.22999999999999993,1.7199254168679993e-15,26,171
56,6.23904628555955,88,3.985718912061014e-06,0.22999999999999995,1.7199254168679993e-15,19,127
57,6.315610132286071,256,4.038166780613618e-06,0.23,1.7199254168679997e-15,62,197
58,6.482761375508951,326,7.3038726804823205e-06,0.23,1.7199254168679997e-15,84,192
59,6.6180563088931335,480,1.556677043431715e-06,0.23000000000000004,1.7199254168679997e-15,197,204
60,6.715968806641832,249,8.887959750452927e-06,0.23,1.7199254168679997e-15,61,64
61,6.773024553208048,354,1.098473610655813e-06,0.22999999999999993,1.7199254168679993e-15,96,194
62,6.985442352733761,483,5.555555555555555e-06,0.22999999999999995,1.7199254168679993e-15,201,202
63,7.22963164475318,398,5.3748953109179035e-06,0.23000000000000007,1.7199254168680001e-15,116,216
64,7.5129807422946255,121,4.1885230424617915e-06,0.22999999999999993,1.7199254168679993e-15,27,166
65,7.740510516944073,59,3.5167762887854447e-06,0.23,1.7199254168679997e-15,13,74
66,7.783648115046761,479,7.671677507475931e-06,0.23000000000000004,1.7199254168679997e-15,188,214
67,7.871056456068659,349,1.2679501889730387e-06,0.22999999999999998,1.7199254168679995e-15,95,173
68,7.969461226326408,253,3.661716747045439e-06,0.23000000000000004,1.7199254168679997e-15,62,113
69,8.016962875951966,18,1.2844037279484971e-06,0.23000000000000004,1.7199254168679997e-15,4,18
