time_s,turbidity_proxy,lysis_front_x_um,lysis_front_vel_um_min,pct_fibers_intact,cleavage_rate_per_s,lysis_fraction,n_intact,n_ruptured,n_total,mean_integrity,n_cleavage_events,energy_J
0.0,1.0,0.0,238.17952829770732,100.0,7.2743335057334715,0.0,500,0,500,1.0,0,0.0
0.043095631368675294,0.998,0.0,193.69278992688916,99.8,7.258593099693593,0.002,499,1,500,0.998,1,5.744683277823641e-18
5.0905101141909785,0.91,81.87347592922038,223.73857685489045,91.0,6.9137038047281285,0.09,455,45,500,0.91,45,5.6978895692080985e-18
10.17044479677599,0.836,90.97052881024486,197.08262265831752,83.6,6.545139889643254,0.164,418,82,500,0.836,82,5.668209404381472e-18
15.174339590524747,0.766,89.82784648238339,140.27923763073227,76.6,6.3077541936819586,0.234,383,117,500,0.766,117,5.637604892639403e-18
20.20803691281652,0.706,95.59254389821494,175.17288544153539,70.6,6.015550677487632,0.294,353,147,500,0.706,147,5.609652179685553e-18
25.211497253885877,0.634,100.08104206015803,175.17288544153539,63.4,5.926261669103656,0.366,317,183,500,0.634,183,5.579774306267944e-18
30.663737699468395,0.576,98.98908174327272,175.33041520279684,57.6,5.597684558764412,0.424,288,212,500,0.576,212,5.558303812664564e-18
36.36285916158964,0.524,135.59623931981469,81.39559414895169,52.4,5.371089965994704,0.476,262,238,500,0.524,238,5.539936129280052e-18
41.377642816428335,0.478,135.91357276134647,77.89409669642906,47.8,5.123350624593933,0.522,239,261,500,0.478,261,5.5247432826818976e-18
46.37979379745215,0.442,108.4353685896192,91.87153662139009,44.2,4.971657301911114,0.558,221,279,500,0.442,279,5.5106099646802016e-18
47.965380514708094,0.43,140.0372351010436,96.07120589118597,43.0,4.482751310218078,0.568,215,285,500,0.43,285,5.506353596763868e-18
