order,time_s,fiber_id,length_m,strain,tension_N,node_i,node_j
1,0.0,192,4.805304241009489e-06,0.22999999999999995,1.7199254168679993e-15,44,115
2,0.04311175474404443,427,8.386330681841893e-06,0.22999999999999995,1.7199254168679993e-15,136,168
3,0.05130734390727185,130,2.7082216044341274e-06,0.23000000000000004,1.7199254168679997e-15,29,187
4,0.05578844264956449,46,8.602116659861792e-06,0.23,1.7199254168679997e-15,10,198
5,0.0882602548105067,333,5.2117018549283496e-06,0.22999999999999993,1.7199254168679993e-15,87,187
6,0.2666405533230862,339,5.684772812246936e-06,0.23,1.7199254168679997e-15,90,147
7,0.2932742107525611,43,6.869686327665019e-06,0.23000000000000004,1.7199254168679997e-15,10,43
8,0.4331012861346947,265,4.325195852463087e-06,0.23,1.7199254168679997e-15,65,170
9,0.4993770373690603,342,7.81581240103047e-06,0.23000000000000004,1.7199254168679997e-15,92,107
10,0.6508384072298415,206,1.46170738595912e-06,0.23,1.7199254168679997e-15,48,93
11,0.7160404297105866,41,3.7294023028544334e-06,0.23000000000000007,1.7199254168680001e-15,9,171
12,0.7376131426258247,263,3.6943133689649443e-06,0.23000000000000004,1.7199254168679997e-15,64,167
13,0.873479555047871,446,8.511480427481032e-06,0.22999999999999993,1.7199254168679993e-15,151,155
14,0.9159058372427398,136,2.9132578737733696e-06,0.22999999999999993,1.7199254168679993e-15,30,182
15,1.0090057745537124,408,7.176007922969971e-06,0.22999999999999995,1.7199254168679993e-15,123,164
16,1.0860744545550751,417,3.566202189235219e-06,0.23,1.7199254168679997e-15,130,194
17,1.3401323342191493,392,2.9831925234272195e-06,0.23000000000000007,1.7199254168680001e-15,113,205
18,1.3508299030872197,312,6.010006231076082e-06,0.23,1.7199254168679997e-15,79,166
19,1.6811325032787106,488,5.555555555555563e-06,0.23,1.7199254168679997e-15,206,207
20,1.868178919524546,428,7.435989168679694e-06,0.2299999999999999,1.7199254168679983e-15,136,206
21,2.221965597260657,431,4.567398044482322e-06,0.22999999999999998,1.7199254168679995e-15,139,147
22,2.2313252717777914,322,5.001564708119429e-06,0.2300000000000001,1.7199254168680005e-15,83,147
23,2.2735042037429847,161,2.977233196153935e-06,0.22999999999999995,1.7199254168679993e-15,35,156
24,2.288748184120747,72,6.617765307548183e-06,0.22999999999999995,1.7199254168679993e-15,16,110
25,2.44633705214181,0,4.6275603669173705e-06,0.22999999999999995,1.7199254168679993e-15,0,10
26,2.4708617032099616,319,3.000498381761707e-06,0.23000000000000007,1.7199254168680001e-15,82,142
27,2.5948220544902165,158,5.371613207456942e-06,0.22999999999999995,1.7199254168679993e-15,35,99
28,2.7666062256310764,56,7.5625879365790754e-06,0.22999999999999993,1.7199254168679993e-15,12,198
29,2.849088119364487,140,7.094772992958866e-06,0.23000000000000004,1.7199254168679997e-15,31,122
30,2.8898356693940968,391,5.264263770243141e-06,0.22999999999999993,1.7199254168679993e-15,113,197
31,3.280200831126666,421,2.600236455370594e-06,0.22999999999999404,1.7199254168679457e-15,132,180
32,3.3067209226737946,210,7.298160404468482e-06,0.23000000000000215,1.719925416868019e-15,50,71
33,3.356490314756617,28,2.4369160653862145e-06,0.2299999999999999,1.7199254168679983e-15,6,125
34,3.8277095367574177,61,7.4303336953902905e-06,0.22999999999999993,1.7199254168679993e-15,13,144
35,3.851800071933273,175,6.810090275525426e-06,0.23,1.7199254168679997e-15,39,98
36,3.947785053452983,91,8.261253715365692e-06,0.22999999999999993,1.7199254168679993e-15,20,189
37,3.9481972299338284,458,3.076912960665854e-06,0.23,1.7199254168679997e-15,163,171
38,3.9920993574945713,351,7.749415876511258e-06,0.23,1.7199254168679997e-15,96,103
39,4.3492520707850035,81,3.969655019075829e-06,0.23,1.7199254168679997e-15,18,44
40,4.435754172060255,64,6.667044074624673e-06,0.23,1.7199254168679997e-15,14,76
41,4.5268935004982565,387,6.591243256964634e-06,0.23,1.7199254168679997e-15,111,193
42,4.534710175418049,80,3.471026904763678e-06,0.22999999999999993,1.7199254168679993e-15,17,126
43,4.568088968289884,45,4.233281384840757e-06,0.23,1.7199254168679997e-15,10,185
44,4.59213942016184,490,5.555555555555556e-06,0.2299999999999999,1.7199254168679983e-15,208,209
45,5.039213946452863,395,3.906178128583974e-06,0.23000000000000007,1.7199254168680001e-15,114,175
46,5.09251488692052,277,6.1761121287041105e-06,0.230000000000002,1.7199254168680173e-15,68,215
47,5.174483690685762,286,4.151307488725016e-06,0.23,1.7199254168679997e-15,70,199
48,5.334518604448089,178,7.010042517742146e-06,0.22999999999999998,1.7199254168679995e-15,40,164
49,5.599349240480279,369,4.285143557204354e-06,0.22999999999999993,1.7199254168679993e-15,102,140
50,5.610486680063388,438,1.2852210704953889e-06,0.22999999999999232,1.7199254168679305e-15,146,180
51,5.7887703576636405,318,5.120247224438555e-06,0.23,1.7199254168679997e-15,82,91
52,5.890905749936961,497,5.555555555555563e-06,0.23,1.7199254168679997e-15,216,217
53,5.918690811433097,299,6.9805778674056864e-06,0.22999999999999995,1.7199254168679993e-15,75,100
54,5.98646778712746,157,7.894725915721247e-06,0.23,1.7199254168679997e-15,35,44
55,6.117008536099053,117,3.93303036391557e-06,0.22999999999999993,1.7199254168679993e-15,26,171
56,6.241528565470836,88,3.985718912061014e-06,0.22999999999999995,1.7199254168679993e-15,19,127
57,6.3181246704910485,256,4.038166780613618e-06,0.23,1.7199254168679997e-15,62,197
58,6.485346500675547,326,7.3038726804823205e-06,0.23,1.7199254168679997e-15,84,192
59,6.620698699939387,480,1.556677043431715e-06,0.23000000000000004,1.7199254168679997e-15,197,204
60,6.718652736528078,249,8.887959750452927e-06,0.23,1.7199254168679997e-15,61,64
61,6.7757327447131175,354,1.098473610655813e-06,0.22999999999999993,1.7199254168679993e-15,96,194
62,6.988241079500985,483,5.555555555555555e-06,0.22999999999999995,1.7199254168679993e-15,201,202
63,7.232534690249301,398,5.3748953109179035e-06,0.23000000000000007,1.7199254168680001e-15,116,216
64,7.5160051179217495,121,4.1885230424617915e-06,0.22999999999999993,1.7199254168679993e-15,27,166
65,7.743632548494627,59,3.5167762887854447e-06,0.23,1.7199254168679997e-15,13,74
66,7.786788704641601,479,7.671677507475931e-06,0.23000000000000004,1.7199254168679997e-15,188,214
67,7.874234737508688,349,1.2679501889730625e-06,0.230000000000023,1.7199254168682056e-15,95,173
68,7.972682041287876,253,3.661716747045439e-06,0.23000000000000004,1.7199254168679997e-15,62,113
69,8.020204270988401,18,1.2844037279484971e-06,0.23000000000000004,1.7199254168679997e-15,4,18
70,8.127554997549238,97,6.891749198560304e-06,0.22999999999999993,1.7199254168679993e-15,21,165
71,8.324402869908928,373,3.1641258489172593e-06,0.23,1.7199254168679997e-15,103,167
72,8.570842121386507,151,6.519554416587706e-06,0.22999999999999998,1.7199254168679995e-15,34,61
73,8.858341730394855,62,8.739472442169701e-06,0.23000000000000004,1.7199254168679997e-15,14,19
74,9.044814441435314,162,5.791860419283547e-06,0.23,1.7199254168679997e-15,36,41
75,9.156638718067573,404,5.617186085990521e-06,0.22999999999999995,1.7199254168679993e-15,120,172
76,9.206629052444983,170,4.737624161761143e-06,0.23000000000000004,1.7199254168679997e-15,37,143
77,9.273030451370872,137,1.3646075518700875e-06,0.23,1.7199254168679997e-15,31,39
78,9.351500708690978,441,4.9872735822953026e-06,0.23000000000000165,1.7199254168680145e-15,148,218
79,9.404207626411583,486,5.555555555555556e-06,0.2299999999999999,1.7199254168679983e-15,204,205
80,9.570341918192183,362,5.716796489124808e-06,0.23000000000000007,1.7199254168680001e-15,99,141
81,9.601483720799898,332,6.088930330243696e-06,0.22999999999999993,1.7199254168679993e-15,87,181
82,9.747426539094318,363,5.194143243341086e-06,0.2299999999999999,1.7199254168679983e-15,99,156
83,10.17463613616205,254,5.846548419769814e-06,0.2299999999999999,1.7199254168679983e-15,62,129
84,10.380417201452664,20,2.896971364407081e-06,0.2299999999999999,1.7199254168679983e-15,4,104
85,10.448266875580876,481,5.272774744426873e-06,0.22999999999999995,1.7199254168679993e-15,197,205
86,10.540010913261652,52,5.0865699821900084e-06,0.2299999999999999,1.7199254168679983e-15,12,94
87,10.803925519020451,372,7.549322033425582e-06,0.22999999999999998,1.7199254168679995e-15,103,130
88,10.917783708277602,331,6.012688854194668e-06,0.2299999999999999,1.7199254168679983e-15,87,134
89,11.078173713850418,406,5.509838575094751e-06,0.22999999999999998,1.7199254168679995e-15,122,125
90,11.474122031479682,334,7.054359149065208e-06,0.22999999999999995,1.7199254168679993e-15,88,192
91,11.596639750681502,181,4.504662804067803e-06,0.23000000000000004,1.7199254168679997e-15,41,150
92,11.760700756846674,437,7.965639295178321e-06,0.2299999999999999,1.7199254168679983e-15,144,174
93,11.785545015076583,127,3.618987331042008e-06,0.22999999999999998,1.7199254168679995e-15,29,97
94,11.826916630648755,197,5.4525660436725355e-06,0.22999999999999998,1.7199254168679995e-15,46,53
95,12.001202873320153,39,2.720688594696993e-06,0.23000000000000007,1.7199254168680001e-15,9,162
96,12.005434442859128,275,3.489141403474421e-06,0.22999999999999624,1.7199254168679654e-15,68,188
97,12.048770307374884,386,6.0993255786429815e-06,0.23,1.7199254168679997e-15,111,166
98,12.138395760535763,302,3.25173230586405e-06,0.2299999999999999,1.7199254168679983e-15,76,104
99,12.276539001838463,294,1.8183843665734206e-06,0.22999999999999995,1.7199254168679993e-15,73,138
100,12.30131252793138,144,8.006088057777754e-06,0.22999999999999993,1.7199254168679993e-15,32,123
