time_s,turbidity_proxy,lysis_front_x_um,lysis_front_vel_um_min,pct_fibers_intact,cleavage_rate_per_s,lysis_fraction,n_intact,n_ruptured,n_total,mean_integrity,n_cleavage_events,energy_J
0.0,1.0,0.0,316.79950794937145,100.0,7.135687196235019,0.0,500,0,500,1.0,0,0.0
0.11490214522985684,0.998,0.0,245.4956209448597,99.8,6.604514645486781,0.002,499,1,500,0.998,1,9.508955925764108e-20
5.131240946417374,0.922,31.08608458273869,213.07522996467335,92.2,6.628354088319845,0.078,461,39,500,0.922,39,8.340907270071518e-20
10.244084276833576,0.854,67.33475122383776,180.18241286394806,85.4,6.301326413396247,0.146,427,73,500,0.854,73,7.530620191564154e-20
15.279518508399896,0.782,67.55444276607791,159.22662571857188,78.2,6.310279805854022,0.218,391,109,500,0.782,109,6.655838990910388e-20
20.460538135280583,0.708,108.03147356060397,150.94461627458736,70.8,6.194786751406908,0.292,354,146,500,0.708,146,5.3845396129527704e-20
25.891380241976368,0.658,105.93700782705767,151.3406582449044,65.8,6.188205658329105,0.342,329,171,500,0.658,171,4.4941552322215716e-20
31.229472240290406,0.586,110.90378298792102,122.8186184080324,58.6,6.008771270416274,0.414,293,207,500,0.586,207,3.3827163758201065e-20
36.50025167892169,0.54,109.61172362749137,76.86517599673414,54.0,5.9113938629776115,0.46,270,230,500,0.54,230,3.256477987413775e-20
41.51955350013856,0.476,110.18364008614638,89.92453140444107,47.6,5.693653027663519,0.524,238,262,500,0.476,262,2.5783749808107424e-20
43.90788753756949,0.456,110.46098726310274,6.2169424632575305,45.6,5.373741732517535,0.542,228,272,500,0.456,272,2.5547328209231796e-20
